country,InstagramUsers_2024,InstagramUsers_PctFemale_2024,InstagramUsers_PctMale_2024,InstagramUsers2023,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Population,Percentage
Hungary,2929100.0,55.8,44.2,2500000,1.722,1.528,0.596,0.581,9943275.0,29.458101078367037
Togo,178900.0,30.5,69.5,123400,0.758,0.586,0.32,0.453,9348070.0,1.9137640175993547
Israel,4598000.0,56.2,43.8,3900000,1.803,1.513,0.74,0.641,9368789.0,49.077847734643186
Austria,3682900.0,53.9,46.1,2900000,1.885,1.336,0.696,0.703,8984216.0,40.993003730097314
Switzerland,4132000.0,51.8,48.2,3500000,1.97,1.425,0.747,0.759,8873589.0,46.56514968182547
Sierra Leone,107300.0,45.0,55.0,85600,0.654,0.566,0.253,0.469,9056057.0,1.1848423657227423
Laos,584200.0,57.4,42.6,488900,1.208,0.846,0.423,0.796,7779024.0,7.5099395502572035
Libya,2136100.0,43.1,56.9,1600000,1.526,1.1,0.55,0.592,6995107.0,30.5370596904379
Kyrgyzstan,2928100.0,56.2,43.8,2300000,1.054,1.477,0.588,0.834,6882553.0,42.543806055688925
Paraguay,2649900.0,55.8,44.2,2150000,1.398,1.408,0.549,0.788,6982300.0,37.951677813900865
Nicaragua,1221100.0,57.0,43.0,912400,1.097,1.263,0.542,0.793,7182022.0,17.002175710405787
Bulgaria,1949300.0,55.8,44.2,1650000,1.629,1.469,0.567,0.62,6596355.0,29.551168789429923
Serbia,3312800.0,54.9,45.1,2750000,1.538,1.391,0.585,0.663,7080093.0,46.7903458330279
El Salvador,1881600.0,54.7,45.3,1500000,1.265,1.08,0.549,0.816,6408764.0,29.359795430132863
Denmark,2893800.0,58.5,41.5,2600000,1.908,1.52,0.699,0.823,5951684.0,48.62153299805568
Singapore,3189800.0,55.4,44.6,2700000,2.118,1.361,0.769,0.743,6068056.0,52.56708243958197
Lebanon,2700500.0,52.0,48.0,1950000,1.377,0.577,0.556,0.173,5168444.0,52.24976801528661
Finland,2589200.0,58.6,41.4,2300000,1.844,1.572,0.695,0.859,5551594.0,46.638857236318074
Liberia,114000.0,46.0,54.0,82500,0.619,0.673,0.301,0.546,5587065.0,2.0404273084347504
Norway,2892500.0,57.1,42.9,2750000,1.952,1.517,0.704,0.835,5531140.0,52.294825298220616
Slovakia,1749600.0,55.3,44.7,1450000,1.706,1.54,0.638,0.566,5674583.0,30.83222150420568
Ireland,2727800.0,58.3,41.7,2300000,2.129,1.39,0.7,0.758,5102557.0,53.45947139835968
New Zealand,2528100.0,56.8,43.2,2150000,1.81,1.527,0.673,0.746,5286920.0,47.818011242840825
Mauritania,148400.0,34.4,65.6,93700,1.078,0.705,0.4,0.343,5260667.0,2.8209350639377098
